sample,frequency_index,frequency_hz,split,directions,paper_error_db,complex_nmse_db,magnitude_nmse_db
1,6,14470.3125,all,1260,-0.3216216665344782,1.2812543206358376,-6.890347628375368
2,0,2067.1875,unknown,930,-13.384171811524244,-12.654417469101023,-16.61648285054611
2,0,2067.1875,known,330,-153.47573450651646,-152.8421665180159,-147.27344417936067
2,0,2067.1875,all,1260,-16.01680237219934,-13.963035371637373,-17.92510075308234
2,1,4134.375,unknown,930,-8.085346702504015,-7.839473049759152,-11.487055703233533
2,1,4134.375,known,330,-152.7152678125734,-151.78781482366253,-146.98454613347633
2,1,4134.375,all,1260,-10.72133274015508,-9.147860645495946,-12.795443298970293
2,2,6201.5625,unknown,930,-4.429030643453972,-4.877368456274349,-9.37575072372976
2,2,6201.5625,known,330,-152.1834967694898,-151.36327582252906,-146.42773162927517
2,2,6201.5625,all,1260,-7.0428529518645,-6.17319867227515,-10.67158093973054
2,3,8268.75,unknown,930,-0.35872607113732524,-0.47663254240040054,-6.297462511577214
2,3,8268.75,known,330,-152.82733212128798,-152.13358628286966,-146.26702958510654
2,3,8268.75,all,1260,-3.0200432243011277,-1.8045810450187372,-7.625411014195537
2,4,10335.9375,unknown,930,0.35181532409127647,0.4152747367216818,-6.549151163376131
2,4,10335.9375,known,330,-152.8573090263799,-152.22582265010035,-146.7107417505404
2,4,10335.9375,all,1260,-2.2913186012439173,-0.88245210601691,-7.846878006114708
2,5,12403.125,unknown,930,1.4536045976299872,1.5246502153464934,-7.334585803898728
2,5,12403.125,known,330,-153.41816822217683,-152.4160232404281,-146.8742722695412
2,5,12403.125,all,1260,-1.1619625736803028,0.2373358483558531,-8.62190017088935
2,6,14470.3125,unknown,930,1.9622068247071427,2.1786479555929246,-6.139159779546745
2,6,14470.3125,known,330,-152.86834701347036,-151.9587730392896,-146.26204777826666
2,6,14470.3125,all,1260,-0.6684025215955668,0.8747291483933206,-7.443078586746333
3,0,2067.1875,unknown,930,-15.14564342131303,-14.84591042591304,-18.761469613212086
3,0,2067.1875,known,330,-153.47573450651646,-152.8421665180159,-147.27344417936067
3,0,2067.1875,all,1260,-17.778273913576367,-16.15452832844938,-20.07008751574824
3,1,4134.375,unknown,930,-9.893347217148916,-10.121480574749446,-13.158567648344661
3,1,4134.375,known,330,-152.7152678125734,-151.78781482366253,-146.98454613347633
3,1,4134.375,all,1260,-12.529333212980367,-11.429868170486237,-14.466955244081399
3,2,6201.5625,unknown,930,-5.043018294402319,-5.616054712404312,-9.45506640434008
3,2,6201.5625,known,330,-152.1834967694898,-151.36327582252906,-146.42773162927517
3,2,6201.5625,all,1260,-7.656840593664953,-6.911884928405113,-10.750896620340855
3,3,8268.75,unknown,930,-0.6730738942213975,-1.2707044834735748,-6.816638200213966
3,3,8268.75,known,330,-152.82733212128798,-152.13358628286966,-146.26702958510654
3,3,8268.75,all,1260,-3.334391044653863,-2.598652986091912,-8.144586702832285
3,4,10335.9375,unknown,930,0.2879560738163652,0.2633879848107338,-5.707849157289695
3,4,10335.9375,known,330,-152.8573090263799,-152.22582265010035,-146.7107417505404
3,4,10335.9375,all,1260,-2.355177851020606,-1.034338857927858,-7.0055760000282765
3,5,12403.125,unknown,930,1.5526659312850462,1.6733033031458198,-7.2369567975761075
3,5,12403.125,known,330,-153.41816822217683,-152.4160232404281,-146.8742722695412
3,5,12403.125,all,1260,-1.062901240649873,0.3859889361551797,-8.52427116456673
3,6,14470.3125,unknown,930,1.9652960290428485,2.1611414051458686,-5.735982933523719
3,6,14470.3125,known,330,-152.86834701347036,-151.9587730392896,-146.26204777826666
3,6,14470.3125,all,1260,-0.6653133172796731,0.857222597946265,-7.039901740723311
4,0,2067.1875,unknown,930,-12.889371564292087,-12.629831887923268,-15.634087613036957
4,0,2067.1875,known,330,-153.47573450651646,-152.8421665180159,-147.27344417936067
4,0,2067.1875,all,1260,-15.522002141816916,-13.93844979045962,-16.942705515573216
4,1,4134.375,unknown,930,-9.791127943758998,-9.55663135685528,-13.155043826396973
4,1,4134.375,known,330,-152.7152678125734,-151.78781482366253,-146.98454613347633
4,1,4134.375,all,1260,-12.427113942194065,-10.865018952592072,-14.46343142213371
4,2,6201.5625,unknown,930,-4.6022550076997915,-5.342607952546596,-9.433374902461551
4,2,6201.5625,known,330,-152.1834967694898,-151.36327582252906,-146.42773162927517
4,2,6201.5625,all,1260,-7.2160773135945675,-6.638438168547398,-10.729205118462326
4,3,8268.75,unknown,930,-0.8322205454048787,-1.3779616989010204,-7.308322467652601
